"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar pedido edi","Realizar pedido edi","SUCCESS","2022-12-20T13:30:57.3077008-03:00[America/Sao_Paulo]","0.0","37.4"
"Realizar pedido","Realizar pedido de venda","SUCCESS","2022-12-20T13:31:34.7064729-03:00[America/Sao_Paulo]","0.0","74.34"
