"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar pedido edi","Realizar pedido edi","SUCCESS","2022-12-06T09:08:33.4628284-03:00[America/Sao_Paulo]","0.0","27.6"
"Realizar pedido","Realizar pedido de venda","SUCCESS","2022-12-06T09:09:01.0681939-03:00[America/Sao_Paulo]","0.0","75.29"
