"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar pedido edi","Realizar pedido edi","ERROR","2023-01-12T08:00:31.6936194-03:00[America/Sao_Paulo]","0.0","2.83"
"Realizar pedido","Realizar pedido de venda","ERROR","2023-01-12T08:00:34.5339477-03:00[America/Sao_Paulo]","0.0","1.45"
